M0001|[Promotional Staff]
M0248|I believe you can do it!
M0249|It would bear watching you.
M0250|See you then.
M0251|You came back!
M0252|Fast learner!
M0253|I love that you're a member of my alliance.
M0254|Our preparations will soon be complete.
M0255|We will surely share all our information with the three kingdoms, and study them.
M0256|Definitely, you are the one to face all the trials and tribulations.
M0257|The important thing is that we need to share all the current information relevant to this place.
M0258|I advise you,
M0259|if you get friendly with
M0260|the creatures in there,
M0261|that's a kind source to know.
M0262|I'll believe you.
M0263|Let's conclude.
M0264|You need to investigate and report to us as much as possible. That's not that tough.
M0265|Don't worry so much.
M0266|We will support you.
M0267|As we can.
M0268|So I will tell you the last step to becoming a member of the alliance.
M0269|In ^FF0000Cheshrumnir in Rachel^000000,
M0270|there is a Manager.
M0271|You already met someone like that from Rune-Midgarts. So no more explanation is needed.
M0272|Ok, so we should talk about
M0273|the tasks we should go through.
M0274|These are about it...
M0275|Hey, sorry for interrupting you. I also have information to send to Arunafeltz.
M0276|We're in a hurry.
M0277|Hey! You hear that? Sorry I'm sure that you've got many things to do. Can I request one more thing? I can't deal with it myself.
M0278|I feel like I am forcing you, but I hope to get your help. Go to the ^FF0000Cheshrumnir Guard^000000 in Rachel and deliver Munkenro's message for me.
M0279|It's the same mission you did for Rune-Midgarts, so it shouldn't be that hard. I hope you can do it.
M0280|You did it already?
M0281|You are a quick worker.
M0282|Anyway, I promised to tell you about the three kingdoms... This is kind of a long story, so please listen carefully.
M0283|The adventurers for Ash-vacuum! The alliance for the three kingdoms! Rune-Midgarts, Schwarzwald, Arunafeltz!
M0284|Three kingdoms united for one thing!
M0285|Frankly, there's a Dimensional Rift in the Sograt desert, so they can inspect it themselves, but it's not that good of a place to inspect the rift's magic well.
M0286|We are a little bit better in magic, but not that much developed in science as compared with Schwarzwald, and not as wise compared with Arunafeltz.
M0287|So we need to get help from other countries, because the Ash-vacuum is quite a profitable place. That is why we made the Alliance to get into the Ash-Vacuum.
M0288|The three kingdoms were enemies before. Fortunately, it's going well now. It's fine.
M0289|This alliance is a first step for peace among the three kingdoms. You know they are all for themselves, so this needs harmony. That's the one thing to pursue, as head of an alliance.
M0290|Honestly, I am also forced by my kingdom, to further our own interests and not others.
M0291|But the most valuable thing is the unity. Not each kingdom's interest. If we spoil the greatest plans, it's too regrettable.
M0292|Though I belong to Schwarzwald, I need to balance the three kingdoms, as a leader... so I can't support my kingdom too much over the others.
M0293|Anyway, I believe that my friend can assist me well.
M0294|Though he is from another kingdom, he's supported me thus far.
M0295|He's the man to my left.
M0296|We call him Munk.
M0297|His real name is... Munkenro.
M0298|He is a kind of manager for Schwaltzvald and he is the main contact point of the kingdom's people, since he's quite closely in communication with them.
M0299|That's enough talk about the three kingdoms. Now, let's move on to the next stories.
M0300|Go to Prontera in Rune-Midgarts and find the Manager there. Tell him that the Alliance is doing well and that we are entering the rift.
M0301|So, what do you want to know more of? You already know about the Ash-Vacuum. Is there anything else you'd like me to tell you?
M0302|Ah, I need to tell you about the alliance, but first, may I ask something?
M0303|I need to report its status to the managers in Rune-Midgarts. I can't do it right now. May I ask you a favor?
M0304|It's not that difficult. Just tell them to prepare for the trip to the Dimensional Rift. It's quite easy, isn't it?
M0305|We're running out of time, so I will answer you when you come back. Ok?
M0306|Whew......
M0307|You come to be registered as an adventurer? Then I'm the one to talk to. I am Sikaiz, the head of the United Midgard Alliance.
M0308|You come here from Prontera? Then you have been sent by the Recruiter. Didn't he tell you about the stories? Maybe he thought that I would tell you everything.
M0309|I can tell you, but, he's so obstinate. So many kinds of people are living in this world, but quite few are as obstinate as him.
M0310|The registration is also important now, but I will tell you about our status here. May I begin?
M0311|Ok. Let me tell you about the Ash-Vacuum. It's quite a long story. So please bear with me.
M0312|^FF0000Ash-Vacuum^000000....
M0313|This isn't the world of mortals.
M0314|Then what is it...
M0315|Now, we only know that there are living beings there, and that they are not approachable by everyone.
M0316|The name, 'Ash-Vacuum', is so we can identify it easily.
M0317|You're probably wondering how we got there...
M0318|The answer lies with Satan Morocc.
M0319|Can you imagine?
M0320|Why did Satan Morocc
M0321|run away from there???
M0322|That's the important thing.
M0323|He made a gate to run away, by himself. It's very unlike him.
M0324|But he did make some mistakes. He left an opened gate. Nobody knows if it was intentional... or maybe...
M0325|We call the dimensional rift:
M0326|Time-Gap of Dimension.
M0327|Who knows what secrets lie in that world beyond.
M0328|So we've inspected it.
M0329|And there's not much info to get from it. We can't guess if it's from the past... or the future... Even WE don't know where it is.
M0330|That's the place!
M0331|Ash-Vacuum!
M0332|We are all in this together!
M0333|Is that enough?
M0334|Though I am the head of the Alliance, I don't know much else about it. That's why we are all here. To do some research.
M0335|Anyway, I told you about Ash-Vacuum. What I know about it all. Though you still don't know much about it, that's all I can tell you.
M0336|If you have any other questions, you can still ask me...
M0337|- The man standing in front -
M0338|- is delivering a speech. -
M0339|- Let's listen. -
M0340|I, Sikaiz, make it a point that we should pursue the great development of the Midgard continent with the research of the newly discovered Ash-Vacuum.
M0341|So we must not fight for own interests, we must not forget the mission. We are all together on this, to go through all the same trials.
M0342|This mission shouldn't be for each kingdom's interest alone. If we are not strongly allied for our mission, we will not succeed in discovering the unknown places of Ash-Vacuum.
M0343|Now we should think we are all belonging to the Midgard continent. That's home for all of us.
M0344|We will leave for Ash-Vacuum, through the dimensional rift soon.
M0345|You all should be relaxed about completing this mission. If there are more adventurers to register, let them come to me.
M0346|- The speech has ended. -
M0347|- Let's move on. -
M0348|[Guard]
M0349|You're not allowed to enter.
M0350|All of you are instructed to go to the Time-Gap of Dimension on Rune-Midgarts!
M0351|This is a restricted area.
M0352|You've come here
M0353|to register as a member of the three kingdoms?
M0354|Enter.
M0355|You are not allowed
M0356|to enter.
M0357|Will you go to the dimensional rift right now?
M0358|If you want,
M0359|I can send you to the Time-Gap of Dimension.
M0360|Ok, I will send you to the dimensional rift. Once you get there, just find the head of the alliance.
M0361|You are something of an adventurer... Ok. I got it...
M0362|Once you get there, just find the head of the alliance.
M0363|-Munkenro and Sakaiz don't seem to be getting along very well anymore.-
M0364|Hm, ok!
M0365|That's right.
M0366|-You should probably head over to the dimensional rift next to Morocc and find the Guard there-
M0367|The heads of the alliance, Sikaiz and Munkenro...
M0368|They have different values,
M0369|so that sometimes causes conflict, but nothing serious has happened so far.
M0370|Friendship is the most valuable in this world.
M0371|-You're still here? You're a member of the alliance now so you should head to the dimensional rift next to Morocc and find the Guard there-
M0372|I know we are all to go to the dimensional rift. That's why we are allied strongly. But we gather here... so far from there...
M0373|I think we'd better gather in Prontera on Rune-Midgarts, where I am living.
M0374|Or just warp for commuting.
M0375|I would hope so.
M0376|-I'm sure they'll settle their little dispute somehow. You should be heading to the dimensional rift next to Morocc and find the Guard there-
M0377|Whoosh...
M0378|I am concentrating now!!
M0379|Don't worry!
M0380|-Maybe Munk is a better leader instead of Sakaiz. Anyways you should be heading to the dimensional rift next to Morocc and find the Guard there-
M0381|The head of the alliance, Sikaiz... doesn't look healthy.
M0382|But his upright eyes
M0383|are quite reliable.
M0384|Munkenro looks so willing to do anything for success. As well as he also seems flexible...
M0385|-I'm so bored!!! You should be heading to the dimensional rift next to Morocc and find the Guard there. It's probably less boring there than it is here-
M0386|I am almost dying of boredom!
M0387|So boring!
M0388|I am not in a good mood.
M0389|-We haven't even started and we're already bickering. Just ignore the politics and head to the dimensional rift next to Morocc and find the Guard there-
M0390|Three kingdoms for world peace...
M0391|Will it be successful?
M0392|-You shouldn't stay around here and listen to all the complaining. You should be heading to the dimensional rift next to Morocc and find the Guard there-
M0393|Why is there so much complaining?
M0394|I'm going along for the benefit of my country.
M0395|I wonder if the managers are all talk.
M0396|[Manager]
M0397|With blessings from the Goddess Freya! We three kingdoms will know success! It's all we want. ...Khkhkhkh...
M0398|What brings you here, if you won't worship Freya? Just go away.
M0399|Hm, you've come here to report the status of the alliance? Ok, let me listen.
M0400|Hm, everything is going well
M0401|and almost prepared for a good start... Hm-hmm...
M0402|I hate to meet people from Rune-Midgarts, but I can't avoid it.
M0403|We're all together for this mission now... They would sacrifice for Freya.
M0404|Now you can go back.
M0405|Just say I received the report of the status well.
M0406|Goddess Freya, keep us forever!!
M0407|Ash-Vacuum...
M0408|It will be mine soon...
M0409|Khkhkh!
M0410|[Officer]
M0411|Why don't you go back there?
M0412|Are you afraid to go back?
M0413|Just go back to the meeting room.
M0414|Your allies are there together.
M0415|Nevermind.
M0416|Bye.
M0417|[Officer A]
M0418|So why do you come to me?
M0419|What's wrong?
M0420|[Officer B]
M0421|Got any business?
M0422|I think not.
M0423|You come to tell me that you're leaving for the mission.
M0424|Am I right?
M0425|You were sent by Sikaiz...
M0426|Right?
M0427|Ok, I got your report.
M0428|Just go back there.
M0429|Good luck.
M0430|Just do your best
M0431|...or whatever you do...
M0432|Just return there. Good job.
M0433|Sikaiz isn't understandable...
M0434|I can't help it...
M0435|His voice for peace is
M0436|only his own way.
M0437|Three kingdoms for one mission...
M0438|No peace...
M0439|We even get no advantage.
M0440|We can't leave them as they are now. Though I am the leader among them, I'm just a figurehead.
M0441|Is there any way to change their ways?
M0442|If they changed,
M0443|we wouldn't get in trouble.
M0444|But he is not compromising.
M0445|So what??
M0446|We wouldn't get our interests,
M0447|and just do nothing for ourselves?
M0448|There's always Munkenro.
M0449|So what...?
M0450|As honest as Sikaiz...
M0451|As flexible as Sikaiz...
M0452|But easy to go over him...
M0453|We can't cut him out,
M0454|so just take the lead from Munkenro. It's easier!
M0455|That's a good idea.
M0456|Anyway...
M0457|Some visitors are coming.
M0458|Let's talk about it later.
M0459|Um, what's your business?
M0460|For our own interest,
M0461|we need to abandon other kingdoms.
M0462|The most important things are money and power. If we don't get at least one, we're just like the slummy poor.
M0463|Ah, you are a member of the alliance that discovered the dimensional rift? Welcome. Everything is prepared. Just enter and find the camp when you pass through the rift.
M0464|The new head of the alliance, Munkenro, will direct all of us.
M0465|Then you will pass.
M0466|Just tell me once you are ready. I will let you pass right away.
M0467|You're not allowed to enter here.
M0468|If you have any business, just ask the guard behind me, or just leave.
M0469|Are you the new adventurer?
M0470|If you're going to the other side of the rift, the head of the alliance will guide you there.
M0471|He should be near the center of the Gorge. He is stronger than the former one, so be careful with your words.
M0472|If you want to run away from here, just let me know, I will guide you.
M0473|Follow me, I will let you out of here.
M0474|Ok, just go ahead for yourself.
M0475|Are you new here?
M0476|You look like you need to find the head of the alliance. You can find him near the center of the dimensional rift.
M0477|Just right there.
M0478|There's a pillar of stone.
M0479|Very close!
M0480|I wish you good luck!
M0481|I hope you are successful in your adventures in Ash-Vacuum!
M0482|(...I just follow your lead!)
M0483|(I remember you're strong-willed.)
M0484|(Though I am guilty,)
M0485|(I will do my best.)
M0486|Go prepare.
M0487|I am the head of the Three Kingdoms Alliance. You've come here for the discovery of the dimensional rift. Am I right?
M0488|Um. You're the one that
M0489|did some favors before...
M0490|Your name is " + strcharinfo(0) + "?
M0491|I remember you.
M0492|Sikaiz retired from his position urgently. I am his replacement.
M0493|You don't need to know in detail all about it now. That's not important to you. Is it?
M0494|You are here for the discovery of the dimensional rift. I can't send you there right away. I know that you've passed your tests, but that's the past. You have not been tested by me. ~
M0495|So you need to be tested again. I don't have too much time to test you now. So let's just do a short test.
M0496|Now the soldiers here will start to attack you... If you survive, I will approve of you. Just do it in good time.
M0497|This can prove that you're strong enough. That's the minimum test I can perform.
M0498|Once you get ready,
M0499|just let me know.
M0500|Are you ready??
M0501|Let's start!
M0502|Ok, just have a good adventure.
M0503|If you are too late,
M0504|it will be considered as a failure, so come back soon.
M0505|If you hesitate,
M0506|it means you fail.
M0507|I will give you one more chance. Go ahead.
M0508|You're quite shrewd...
M0509|How come you passed the test
M0510|before? I can't believe this.
M0511|I will give you one more chance.
M0512|Don't make any mistakes again.
M0513|just let me know,
M0514|to start!
M0515|We are testing the other adventurers, so unless you have any business with me, visit me later.
M0516|Good! You did a good job!
M0517|Though we didn't get enough time to test, I think it's almost perfect.
M0518|You can feel I am too strict... I'm just doing what I need to do as head of the Alliance.
M0519|If I can't manage the alliance well, I will feel guilty, that I am not doing Sikaiz's job any justice. Anyway, I will do my best.
M0520|Huh? I'm just whining.
M0521|You don't need to hear this.
M0522|Just forget it.
M0523|I will let you go there.
M0524|Let me know once you are ready.
M0525|- Trembling in fear. -
M0526|Honestly, I should keep
M0527|to the dimensional rift,
M0528|but it's quite scary.
M0529|I ran away from it.
M0530|You're quite brave!
M0531|And not scared about things around you. I envy you...
M0532|I am a coward but,
M0533|I can send you through the dimensional rift. That's the only thing I can do for you.
M0534|I send you there easily,
M0535|but don't tell others about me. Ok??
M0536|Then, do you want to go through the Time-Space Gap now??
M0537|Ok, then I will send you there. As I already said, don't tell anybody about me. Anyway... good luck!!
M0538|It's ok.
M0539|Just don't tell anybody about me. Please.
M0540|onestly, I should keep
M0541|- Trembling. -
M0542|Please keep the secret
M0543|about me being here.
M0544|I am so scared!!
M0545|Please enter the password.
M0546|Incorrect password.
M0547|Please enter a password other then 0.
M0548|Nevermind then.
M0549|What would you like to do?
M0550|Resetting the allied attacks.
M0551|[Marian]
M0552|You must be a stranger here.
M0553|Is this your first visit here?
M0554|As expected~
M0555|I'm not lying, but usually
M0556|I never forget a face.
M0557|Well, anyway...
M0558|If this is your first time here,
M0559|you'd better see ^0000FFInstructor Lugen^000000.
M0560|He can help you adjust
M0561|to these surroundings.
M0562|Go to the right to find
M0563|^0000FFInstructor Lugen^000000.
M0564|Well~ It is weird~
M0565| - ransacking - 
M0566| - flap - 
M0567|Hmm, you're not
M0568|from around here.
M0569|Go to the right along this way
M0570|and you'll find ^0000FFInstructor Lugen^000000.
M0571|Talk to him, first.
M0572|I'm sorry but,
M0573|I'm a bit busy now...
M0574|Go to the right to see ^0000FFInstructor Lugen^000000.
M0575|Wow, good to see you again.
M0576|Do you feel comfortable around here?
M0577|Hey, how are you?
M0578|What brings you here?
M0579|["+ strcharinfo(0) +"]
M0580|The instructor sent me.
M0581|He told me to get supplies from the motherland.
M0582|Ah, you must be talking about~?
M0583|Let me see~~
M0584|This and that~~
M0585|Hmm, not this one.
M0586|Ah, I got it!
M0587|Here they are!
M0588|And this is for you.
M0589|Go, go~~
M0590|Ha! You misplaced the Supply Box?!
M0591|What the~~?
M0592|Ok, I have spares.
M0593|Let me give one to you.
M0594|Don't misplace this one, ok?!
M0595|Do your job, man~
M0596|And please say hello
M0597|to the instructor.
M0598|Hey~
M0599|How have you been recently?
M0600|I am busy all the time...
M0601|The supplies from the motherland are...
M0602|Nothing, do not care...
M0603|Hohoho...
M0604|Huuu, no time to rest.
M0605|When re-enforcements come.
M0606|[Instructor Lugen]
M0607|Excuse me.
M0608|Marian sent me to here.
M0609|Are you from the motherland?
M0610|I am Lugen Jednic from.
M0611|the federal survey team,
M0612|in charge of educating.
M0613|new employees.
M0614|To join the team,
M0615|you simply need to register.
M0616|Once you register, you
M0617|will be provided with
M0618|ccommodations and food.
M0619|There will be plenty of
M0620|missions for you.
M0621|Will you join the survey team?
M0622|Registration is simple.
M0623|Go to the big building.
M0624|in the center and talk
M0625|to the receptionist.
M0626|When you finish the
M0627|registration, come back
M0628|to me and I will assign
M0629|your accomodations.
M0630|You don't want to join?
M0631|If you change your mind, come back later.
M0632|Ah, you came back.
M0633|I have been waiting for you.
M0634|Will ou join the survey team?
M0635|I will register...
M0636|To register, Go to the
M0637|big building in the center
M0638|and talk to the receptionist.
M0639|I got a call from the receptionist.
M0640|Now take your nameplate and go
M0641|to your accomodations down
M0642|in the barracks.
M0643|So take some rest and I will
M0644|see you tomorrow morning.
M0645|You need to share the barracks
M0646|with others, so make sure to
M0647|talk with them while you're there.
M0648|How was your stay here?
M0649|It is cold. Warm yourself
M0650|and try not to catch a cold.
M0651|And I have a request of you, "+ strcharinfo(0) +".
M0652|It is to distribute supplies
M0653|from the motherland,
M0654|It's not very difficult.
M0655|Just think of it as a way
M0656|to meet people here.
M0657|Anyway, Go to Marian,
M0658|whom you met when
M0659|you first came here and
M0660|get the supplies from her.
M0661|Did you receive the supplies?
M0662|Can you show them to me, please?
M0663|Hmm...
M0664|Ok, then, please deliver
M0665|them to their receivers.
M0666|The first box should be sent to
M0667|Jan, northwest of the camp.
M0668|She may be around the fence.
M0669|It seems that they
M0670|are not enough.
M0671|Can you check them
M0672|with Marian, please?
M0673|So, did you get the
M0674|supplies to Jan?
M0675|She was waiting
M0676|for it a month ago.
M0677|Thanks so much.
M0678|Next, this box is for Gerard.
M0679|He is investigating across the
M0680|west bridge outside the camp.
M0681|Freya be with you.
M0682|Well done.
M0683|Is Gerard well?
M0684|I've been worrying
M0685|about him since he
M0686|disappeared after
M0687|going out for the
M0688|investigation.
M0689|And the last box is for
M0690|Alberto at the entrance
M0691|of the eastern field.
M0692|Perhaps, he ordered
M0693|the heavy coat.
M0694|It's freezing there so
M0695|you'd better hurry.
M0696|Please deliver it to him.
M0697|It was really good to request
M0698|you, "+ strcharinfo(0) +".
M0699|Your work has been
M0700|a great help to us.
M0701|I really appreciate it.
M0702|You must be tired now,
M0703|please take care of yourself.
M0704|I have more things
M0705|to do now, ha...
M0706|There must be no
M0707|time to rest for me.
M0708|Huu...~
M0709|What is wrong with you?
M0710|Ah, nothing...
M0711|I'm just talking to myself.
M0712|I've never seen you sigh.
M0713|If you have something
M0714|to say please tell me.
M0715|It's just a personal thing...
M0716|Tell me.
M0717|I think I can help you.
M0718|I-I'm, sorry to tell you but...
M0719|I came here together
M0720|with my friend but we
M0721|aren't allowed to leave,
M0722|so I don't know how he is.
M0723|It was rumored that
M0724|he's gotten worse so
M0725|I'm worried about him.
M0726|But, I'm so busy working
M0727|and it makes me...
M0728|*sigh*
M0729|I will help with your problem!
M0730|No, it is ok.
M0731|Don't say no!
M0732|It's not a problem at all!
M0733|So, I'll go to him for you
M0734|and see if he is ok, alright?!
M0735|Hey, I really want to help~
M0736|I really appreciate that.
M0737|If so, can you please
M0738|deliver this letter to him?
M0739|You can count on me!!
M0740|My friend, Otto, is working
M0741|on the barrier in the west.
M0742|Please give it to him.
M0743|Ah, ya work is tough.
M0744|Yes.. I really appreciate your listening to me.
M0745|It makes me feel better.
M0746|May I help you?
M0747|No, it's ok.
M0748|It is not difficult at all!
